TW-0199-1;90-14;3;5 528,00;;;
TW-0218;;1;2 211,00;;;
TW-0298;TW-0361;2;1 580,00;;;
TW-0341;;1;1 895,00;;;
TW-0396;;1;2 211,00;;;
TW-0410;;2;2 211,00;;;
TW-0442;Старое TW-0586;2;1 895,00;;;
TW-0489;;1;2 527,00;;;
TW-0502;;1;2 211,00;;;
TW-0608;;1;4 107,00;;;
TW-0619;;1;6 634,00;;;
TW-0638;Заменен на TW-0244;2;3 159,00;;;
TW-0646R;;1;2 290,00;;;
TW-0662;;1;6 792,00;;;
TW-0670;;1;2 369,00;;;
TW-0746;;1;3 001,00;;;
TW-0784;;1;2 211,00;;;
TW-0868;;1;2 290,00;;;
TW-0877;;1;4 581,00;;;
TW-0906;TKP50;2;2 369,00;;;
TW-1022;;1;5 844,00;;;
GK-0761;;8;300,00;;;
RK-BW2-5;;2;2 464,00;;;
RK-BW7-2R;;2;1 153,00;;;
RK-G1-2;;2;869,00;;;
RK-G11-1;;2;1 295,00;;;
RK-G14-1;;2;1 343,00;;;
RK-G19-5;;2;916,00;;;
RK-G2-3;;2;1 737,00;;;
RK-G23-3;;2;1 358,00;;;
RK-G27-1;;1;12 320,00;;;
RK-G44-1R;;1;1 074,00;;;
RK-G5-3;;2;869,00;;;
RK-G5-4;;1;1 137,00;;;
RK-G6-1;;1;1 501,00;;;
RK-H11-2;;4;1 611,00;;;
RK-H14-2;;1;1 501,00;;;
RK-H16-3;;1;1 974,00;;;
RK-H18-1;;1;1 185,00;;;
RK-H3-1;;2;948,00;;;
RK-H8-1R;;2;1 895,00;;;
RK-Hi1-1;;3;1 153,00;;;
RK-Hi2-1;;2;1 580,00;;;
RK-I14-3;;2;10 267,00;;;
RK-I22-1;;2;1 343,00;;;
RK-I35-1;;2;1 469,00;;;
RK-I5-2;;2;869,00;;;
RK-I7-2;;1;916,00;;;
RK-I8-2;;2;900,00;;;
RK-K1-6;;2;948,00;;;
RK-K12-1;;10;1 185,00;;;
RK-K12-2;;10;869,00;;;
RK-K13-3;;2;948,00;;;
RK-K18-7;;1;1 232,00;;;
RK-K2-1;;1;1 137,00;;;
RK-K2-2;;2;1 422,00;;;
RK-K21-1;;6;1 422,00;;;
RK-KA4-2;TKP50;1;1 185,00;;;
